"","GWAS","eQTL","combined_score"
"GSTM3",1,0.372149351617231,0.610040450804068
"FAM117B",0.824626865671642,0.216835593978238,0.422857489265974
"CTSH",0.716791044776119,0.17316291548666,0.35230899379403
"LIPA",0.434701492537313,0.22726933969295,0.314315639401693
"HLA-DRB5",0.138432835820896,0.486398867193322,0.259487137495566
"MED22",0.272388059701493,0.237703085407661,0.2544552656544
"LY6G5C",0.138432835820896,0.460239976151438,0.252413004928005
"PEX6",0.0768656716417911,0.705433000447161,0.232859574374031
"RBM6",0.0955223880597015,0.490833209122075,0.21653073748165
"HLA-DRB6",0.138432835820896,0.337270830228052,0.216077202564586
"HLA-DQB1",0.0638059701492537,0.723654792070353,0.214880190015751
"ERAP2",0.0451492537313433,1,0.21248353755372
"TAF1A",0.787313432835821,0.0512744075122969,0.200920456387918
"DAGLB",0.0914179104477612,0.397674765240721,0.190668812541828
"CFDP1",0.371268656716418,0.0978908928305262,0.19064055257463
"MAP3K11",0.216417910447761,0.167834252496646,0.190584202458877
"CTSK",0.166044776119403,0.190937546579222,0.178056682476494
"HLA-C",0.138432835820896,0.217431808019079,0.173492656276125
"MAT2A",0.472014925373134,0.0621925771351915,0.171335415647876
"HSD17B12",0.0541044776119403,0.490423311968997,0.162892900713322
"HLA-DRB1",0.138432835820896,0.17610672231331,0.156137609104772
"DNTTIP1",0.117537313432836,0.202228349977642,0.154173204404421
"COG5",0.0802238805970149,0.290393501266955,0.152631889105093
"PILRB",0.0569029850746269,0.389663139066925,0.148905996475822
"UBA7",0.0955223880597015,0.218698762855865,0.144535905897789
"PECAM1",0.166044776119403,0.122074824862125,0.142372353229294
"NPHP3",0.0638059701492537,0.311968996869876,0.141086797758585
"PSMB9",0.0638059701492537,0.31070204203309,0.140800018534358
"SF3B2",0.104477611940299,0.187285735579073,0.139882688005999
"OASL",0.272388059701493,0.0650618572067372,0.133124276693317
"FBN2",0.0727611940298507,0.235728126397377,0.130965109640288
"SURF1",0.272388059701493,0.0620062602474288,0.12996062833852
"HCG27",0.138432835820896,0.121813981219258,0.12985782557403
"EIF2B2",0.130597014925373,0.129080339842003,0.129836462786531
"NME6",0.104477611940299,0.157400506781935,0.128237393402897
"HLA-DQA1",0.0638059701492537,0.256632881204352,0.127963705625626
"ARNT",0.166044776119403,0.0946862423610076,0.12538802141521
"BET1L",0.101119402985075,0.151438366373528,0.12374715025699
"ERAP1",0.0451492537313433,0.331755850350276,0.122386801021688
"SAYSD1",0.119776119402985,0.118460277239529,0.11911638137197
"PLCL1",0.0858208955223881,0.159934416455507,0.117156795983256
"SIDT2",0.0485074626865672,0.279438068266508,0.116425219216646
"CAMK1D",0.149253731343284,0.0906617975853331,0.116325455425287
"AP4B1",0.114179104477612,0.116522581606797,0.115344891604629
"TDRD9",0.0638059701492537,0.206699955283947,0.114842027048897
"SF3A3",0.0802238805970149,0.162356535996423,0.114126558512565
"SEC16A",0.0485074626865672,0.267401997317037,0.113890264760293
"MICA",0.0955223880597015,0.135601430913698,0.113811126456024
"RAC1",0.0914179104477612,0.137427336413773,0.112086216518128
"EIF6",0.115671641791045,0.103294082575645,0.109307804473535
"PSMA4",0.226119402985075,0.0515352511551647,0.107949618914991
"RNASEH2C",0.110074626865672,0.0997167983306007,0.104767787838058
"ADCY3",0.0264925373134328,0.389365032046505,0.101564106061334
"IL6R",0.207462686567164,0.0487404978387241,0.100557618439593
"ALDH2",0.365671641791045,0.0276494261439857,0.100551534312767
"IREB2",0.0727611940298507,0.129378446862424,0.0970243797992934
"ORMDL3",0.042910447761194,0.219071396631391,0.0969559266941589
"TRIM4",0.0569029850746269,0.161536741690267,0.0958745159122335
"SUMF2",0.0615671641791045,0.14603517662841,0.0948207345226023
"NT5C2",0.333955223880597,0.0267551050827247,0.0945251665317244
"MCL1",0.166044776119403,0.0532493665225816,0.0940307350962551
"CARD9",0.0485074626865672,0.172045014160083,0.0913535281463183
"BLZF1",0.136194029850746,0.0604784617677746,0.090756847826087
"TMEM87B",0.0638059701492537,0.125242211954092,0.0893935167524428
"CTSS",0.166044776119403,0.0455731107467581,0.0869895221909524
"KLC1",0.0638059701492537,0.10586525562677,0.0821878053020325
"POC1B",0.355410447761194,0.0179982113578775,0.0799796996593751
"MAP1S",0.175746268656716,0.0363690564912804,0.0799482706061104
"PCCB",0.170149253731343,0.0375242211954092,0.0799044318748887
"RDX",0.250373134328358,0.0245565658071248,0.0784111238885811
"SSH2",0.114179104477612,0.0526904158592935,0.0775638091984083
"RPL10",0.0485074626865672,0.119391861678343,0.0761012238761111
"ANAPC13",0.0223880597014925,0.25249664629602,0.075185836376953
"BUD13",0.210820895522388,0.0253018333581756,0.073035300827263
"GFPT1",0.0783582089552239,0.0662915486659711,0.0720727897499018
"CCNL1",0.101119402985075,0.0511253540020867,0.0719010797839059
"TMEM106B",0.0451492537313433,0.110746758086153,0.0707116219638286
"TRAF3IP3",0.0485074626865672,0.0997167983306007,0.0695486079964621
"ZDHHC18",0.0550373134328358,0.0845506036667164,0.0682161130154786
"TMEM9B",0.0671641791044776,0.0692726188701744,0.0682102527544988
"SH2B3",0.451492537313433,0.01,0.0671931943959679
"NAGK",0.01,0.450402444477567,0.0671120290616792
"CWF19L2",0.0755597014925373,0.0576464450737815,0.0659980922594046
"NAA25",0.365671641791045,0.011700700551498,0.0654111181739897
"MTHFR",0.0298507462686567,0.142457892383366,0.0652109990684352
"TBXAS1",0.0923507462686567,0.0443806826650768,0.0640202246484053
"CSNK1G1",0.0541044776119403,0.075644656431659,0.063974327822726
"TNS1",0.128731343283582,0.0307050231032941,0.0628704928375822
"PIGV",0.042910447761194,0.0903264271873603,0.0622571075081273
"WWP2",0.110074626865672,0.0342823073483381,0.0614297337570544
"PLEKHA1",0.0858208955223881,0.0438217320017886,0.0613255271786195
"MAP4",0.104477611940299,0.0357355790728872,0.0611029292492509
"GBP3",0.0111940298507463,0.332575644656432,0.0610152578779708
"THOC5",0.0354477611940299,0.102995975555224,0.0604233129299257
"DDX59",0.0615671641791045,0.0582799224921747,0.0599009979584748
"MTAP",0.248134328358209,0.014458190490386,0.0598963553699804
"CEP63",0.0223880597014925,0.155351021016545,0.0589746380506589
"IP6K2",0.0955223880597015,0.034207780593233,0.0571630028295219
"NME1",0.042910447761194,0.072551796094798,0.0557963265484981
"ATP6V0A1",0.119776119402985,0.0254508868683858,0.0552123941199767
"DNAJB12",0.0988805970149254,0.0295871217767178,0.0540887443488491
"MLH3",0.130597014925373,0.0222089730213147,0.0538555993480886
"UBASH3B",0.042910447761194,0.0650991205842898,0.0528529319255974
"SIPA1",0.110074626865672,0.0248546728275451,0.0523055335252435
"TSPAN14",0.104477611940299,0.0253018333581756,0.0514147364767492
"HNRNPUL1",0.190298507462687,0.0138619764495454,0.0513606213828396
"TP53INP1",0.0638059701492537,0.0411015054404531,0.0512105597433082
"SNX1",0.0541044776119403,0.0469891190937547,0.0504214412924982
"TRIP4",0.0541044776119403,0.0456103741243106,0.0496762062327729
"ADAM19",0.0451492537313433,0.0545535847369206,0.0496291611780973
"CABIN1",0.0615671641791045,0.0398345506036667,0.049522725258378
"PBX2",0.0582089552238806,0.0383812788791176,0.0472666282244654
"LST1",0.138432835820896,0.0157996720822775,0.0467674396497169
"DHDDS",0.0550373134328358,0.0386793858995379,0.0461390234524148
"NOC3L",0.141791044776119,0.0142718736026233,0.0449847070572732
"TBC1D7",0.01,0.20058876136533,0.0447871366985355
"XPO6",0.0485074626865672,0.0409524519302429,0.0445701641676323
"EDEM2",0.0914179104477612,0.021128335072291,0.0439489276723447
"RRBP1",0.0485074626865672,0.0389774929199583,0.0434821720183205
"DOCK5",0.0485074626865672,0.0383440155015651,0.0431273799481874
"SFMBT1",0.0671641791044776,0.0275003726337755,0.0429772027127729
"NUDT5",0.149253731343284,0.0120360709494709,0.0423842954397147
"PRKAR1A",0.0783582089552239,0.0228797138172604,0.0423416272258001
"DHX36",0.175746268656716,0.01,0.041922102601935
"TMED9",0.0167910447761194,0.103443136085855,0.0416763521652244
"PPHLN1",0.0451492537313433,0.0378968549709346,0.041364413699491
"CCDC97",0.16884328358209,0.01,0.0410905443602405
"PPA2",0.0242537313432836,0.0658443881353406,0.0399621333301594
"BAG5",0.0638059701492537,0.0248546728275451,0.0398230650817313
"LDLR",0.157089552238806,0.01,0.0396345243744398
"AKAP13",0.0208955223880597,0.0708004173498286,0.0384631213738214
"TAF9B",0.0485074626865672,0.0295125950216128,0.037836240587493
"TRAF1",0.0559701492537313,0.0242584587867044,0.0368476533711081
"PLEKHJ1",0.0615671641791045,0.0220226561335519,0.0368221738336339
"HMBS",0.0932835820895522,0.0141228200924132,0.0362963806381105
"ARHGEF6",0.0550373134328358,0.0237740348785214,0.0361726278997304
"ZNF664",0.0615671641791045,0.0209047548069757,0.0358754299113613
"QRICH1",0.0395522388059701,0.0320837680727381,0.0356228137098728
"UFL1",0.0736940298507463,0.0169548367864063,0.0353478464443304
"PRKD2",0.01,0.122074824862125,0.0349392078991676
"CCR3",0.0111940298507463,0.107653897749292,0.0347142758091648
"KAT2A",0.119776119402985,0.01,0.0346086866845573
"CHP1",0.0569029850746269,0.0208302280518706,0.0344282174376872
"IKBKG",0.0485074626865672,0.0244075122969146,0.0344085235372649
"MAPKAPK5-AS1",0.0363805970149254,0.0303696527053212,0.0332395261180951
"CTSA",0.0638059701492537,0.0164331495006707,0.0323810599965168
"LNPEP",0.0451492537313433,0.0217245491131316,0.0313184798498875
"SKP2",0.042910447761194,0.0217245491131316,0.0305321163671064
"PIGU",0.0914179104477612,0.01,0.0302353948953476
"RPL7L1",0.0354477611940299,0.0248546728275451,0.0296823601983832
"PML",0.019589552238806,0.0448651065732598,0.0296460342865023
"RRP1B",0.0298507462686567,0.0285810105827992,0.0292089796981841
"TOM1L2",0.0824626865671642,0.01,0.0287163170631549
"SH3PXD2A",0.0638059701492537,0.0127440751229691,0.0285157513819295
"CLOCK",0.041044776119403,0.0192651661946639,0.0281200005932267
"TMEM165",0.041044776119403,0.0191161126844537,0.0280110079327161
"NFU1",0.0783582089552239,0.01,0.0279925363186732
"CD300LF",0.0354477611940299,0.0219853927559994,0.027916535461472
"SSH1",0.0768656716417911,0.01,0.0277246589955208
"RTF1",0.0298507462686567,0.0247428826948875,0.0271770769819019
"FLNA",0.0485074626865672,0.0149426143985691,0.026922635650663
"ING1",0.041044776119403,0.0174765240721419,0.0267828306548509
"CNPY4",0.0569029850746269,0.0122969145923386,0.026452431788246
"DDAH2",0.0638059701492537,0.01,0.0252598436553463
"HSPA1B",0.0638059701492537,0.01,0.0252598436553463
"NRIP1",0.0569029850746269,0.01,0.0238543465797382
"MCM6",0.01,0.0544417946042629,0.0233327655035281
"MYO9B",0.0485074626865672,0.01,0.0220244097960802
"ZEB1-AS1",0.0485074626865672,0.01,0.0220244097960802
"PPFIA1",0.0111940298507463,0.0414741392159785,0.0215467573527357
"SAP130",0.0451492537313433,0.01,0.021248353755372
"ZCRB1",0.0451492537313433,0.01,0.021248353755372
"ARID1A",0.042910447761194,0.01,0.0207148371369881
"HBP1",0.042910447761194,0.01,0.0207148371369881
"APEH",0.0395522388059701,0.01,0.0198877446700148
"SORD",0.0111940298507463,0.0326427187360262,0.0191155321124104
"CSTF2T",0.01,0.0296616485318229,0.017222557455797
"PARP1",0.01,0.021128335072291,0.0145355891082168
"ANP32B",0.01,0.0129303920107319,0.0113711881572384
