"","Symbol","Obermoser_F_pvalue","Gosch_F_pvalue"
"744","MPST",0.775824387623784,1.33069515392088e-06
"745","MPZL1",0.00698731295825179,4.69952960278565e-15
"746","MPZL1",0.0195420472847325,4.69952960278565e-15
"747","MRPL42",0.289174820008577,0.00510680578324687
"748","MRPL42",0.0322487946235087,0.00510680578324687
"749","MRPL52",0.138558162248232,0.0291768111605212
"750","MRPL52",0.00906994014943553,0.0291768111605212
"751","MRPL55",0.022111365170114,0.0411430230440969
"752","MRPL55",0.989984857728841,0.0411430230440969
"753","MRPL55",0.606150332441316,0.0411430230440969
"754","MRPS18B",0.00503888224700427,4.40859745365501e-06
"755","MRPS18B",0.024195825379454,4.40859745365501e-06
"756","MRRF",0.426201166705209,0.000339853797973114
"757","MRRF",0.00119711766948121,0.000339853797973114
"758","MRRF",0.276606087522968,0.000339853797973114
"759","MSMO1",0.0278067899128872,0.0231038596352857
"760","MSMO1",0.694938575223348,0.0231038596352857
"761","MSMO1",0.0472341018027194,0.0231038596352857
"762","MSRB1",3.74471944041347e-05,2.31376230485178e-07
"763","MSRB2",0.0109716700011136,6.91624148703123e-10
"764","MTAP",0.00790557679670603,0.000159597350597758
"765","MTHFS",0.00428402734117109,1.25001801813051e-06
"766","MTMR12",0.0306661458699129,0.0265619224014664
"767","MTMR12",0.415995204504524,0.0265619224014664
"768","MTMR12",0.360274760461924,0.0265619224014664
"769","MTMR3",0.0185467780376955,3.194314426383e-12
"770","MTMR3",0.410440947498788,3.194314426383e-12
"771","MTMR3",0.0235741067933944,3.194314426383e-12
"772","MTMR3",0.0139897167749772,3.194314426383e-12
"773","MTR",0.212332099272744,1.17106895498099e-09
"774","MTR",0.00731073481029969,1.17106895498099e-09
"775","MTX1",0.0831569749643835,1.60777838663127e-06
"776","MTX1",0.00459178027587279,1.60777838663127e-06
"777","MVP",0.418468515601132,0.000724062566706468
"778","MVP",0.0166805325714837,0.000724062566706468
"779","MX2",0.0354194266757638,0.000113723687461346
"780","MXD1",0.00218761343424959,6.762939204548e-10
"781","MYADM",0.256413000898682,1.28020808231966e-05
"782","MYADM",0.0197863975752564,1.28020808231966e-05
"783","MYO1F",0.00104460077957564,1.48413787122787e-09
"784","MYO5A",0.0174901224283916,0.00296063707982346
"785","MYO9A",0.0257324649936884,0.000112970762613117
"786","N4BP2L2",0.00120551109597278,0.0181566903452281
"787","N4BP2L2",0.439037818980612,0.0181566903452281
"788","NAA15",0.013071095623569,2.28310707202432e-06
"789","NAA35",0.000204162393666238,0.000138388531025528
"790","NAA35",0.685303135362367,0.000138388531025528
"791","NABP1",0.00695432807211668,2.25565785304305e-08
"792","NADK",0.00296696313365628,3.05353699666029e-10
"793","NAMPT",0.27725056866965,5.41553597447933e-07
"794","NAMPT",0.0113307090058601,5.41553597447933e-07
"795","NARF",0.0066963210122157,0.000356325614746416
"796","NAT10",0.0188107933788284,5.58982555623332e-08
"797","NBPF1",0.400366046768578,0.00319479469460236
"798","NBPF1",0.00539889237759571,0.00319479469460236
"799","NCF1",0.0584074092426019,2.06210470450741e-05
"800","NCF1",0.0259985741281223,2.06210470450741e-05
"801","NCF4",0.000722177559673926,1.18887385915858e-05
"802","NCF4",0.0147836363321852,1.18887385915858e-05
"803","NCF4",4.32401861197311e-05,1.18887385915858e-05
"804","NCOA4",0.00488185424690037,1.04581583564538e-07
"805","NDEL1",0.00387086993749777,1.99702830262843e-12
"806","NDEL1",0.0111598769864311,1.99702830262843e-12
"807","NDUFB8",0.0166239967790107,0.0100993389615543
"808","NDUFS3",0.0192235025020112,0.00445850750399419
"809","NEDD9",0.0873490235054434,3.61879094766916e-12
"810","NEDD9",0.00545293601689943,3.61879094766916e-12
"811","NEDD9",0.718857190929425,3.61879094766916e-12
"812","NEDD9",0.0938720062717871,3.61879094766916e-12
"813","NELL2",0.000289146266036887,2.43199234720534e-15
"814","NET1",0.0738983432045986,0.000656871507958392
"815","NET1",0.00373455797024295,0.000656871507958392
"816","NET1",0.447808691627037,0.000656871507958392
"817","NFIL3",1.63769982905059e-05,2.33972530116846e-09
"818","NFX1",0.76085895526741,1.4002237904118e-07
"819","NFX1",0.0996183060029328,1.4002237904118e-07
"820","NFX1",0.494922052099656,1.4002237904118e-07
"821","NFX1",0.00984405243958689,1.4002237904118e-07
"822","NHP2",0.283145305675846,0.0434996935278791
"823","NHP2",0.016180217008011,0.0434996935278791
"824","NIFK",0.00507093814541287,1.09854604891503e-05
"825","NIPBL",0.0486738903819933,1.47715838790928e-09
"826","NIPBL",0.599926491262906,1.47715838790928e-09
"827","NIT2",0.0353734958675361,5.48938949345547e-07
"828","NLRC4",0.0112773871243071,4.42138987131586e-08
"829","NLRP12",0.00321391278872367,7.16954795947937e-08
"830","NLRP12",0.154210223330613,7.16954795947937e-08
"831","NLRP12",0.000532795201505246,7.16954795947937e-08
"832","NME1",0.0234104440395495,0.0343336148203542
"833","NME1",0.633931020429284,0.0343336148203542
"834","NMT2",0.0283870724303378,1.23501084438967e-05
"835","NMT2",0.279140747805626,1.23501084438967e-05
"836","NOD2",0.0452582529672391,0.0395314408720936
"837","NOL11",0.00974488393245654,3.09300538380669e-07
"838","NOP10",0.0160738189127079,4.24309653942355e-08
"839","NOP2",0.141163641646971,3.29379853214483e-06
"840","NOP2",0.0194151716015986,3.29379853214483e-06
"841","NOSIP",0.0134026069071918,9.50055906673402e-09
"842","NOTCH1",0.00785137857986812,7.14682375032137e-07
"843","NPL",0.00937582389827666,2.07107853879091e-08
"844","NPL",0.107216945566224,2.07107853879091e-08
"845","NPM1",0.020543248887707,3.45011983894575e-07
"846","NPM1",0.139825776486729,3.45011983894575e-07
"847","NPM1",0.508304645227375,3.45011983894575e-07
"848","NPTN",0.379584004248508,5.07462312161481e-08
"849","NPTN",0.0335448471930707,5.07462312161481e-08
"850","NR1H2",0.0487933637634787,0.000545779490848238
"851","NRBF2",0.0342258811261437,8.37297806228563e-11
"852","NSMCE4A",0.0311166669108322,8.28845879271909e-05
"853","NT5C2",0.0164064702792955,9.59837431514128e-08
"854","NUAK2",6.61138145872157e-05,1.18389114277591e-05
"855","NUAK2",0.0126602513711223,1.18389114277591e-05
"856","NUCKS1",0.376116404401597,3.21545541907126e-11
"857","NUCKS1",0.00212480566992742,3.21545541907126e-11
"858","NUMB",0.00487619328805549,1.20070616709517e-08
"859","NUMB",0.025038825122769,1.20070616709517e-08
"860","NUP214",0.000112782973578787,0.000410329444341798
"861","NUP88",0.0324272724662411,4.62126442727806e-06
"862","OCIAD2",0.06447584883641,1.06718598523576e-08
"863","OCIAD2",0.000823539594040447,1.06718598523576e-08
"864","OGFRL1",0.0156546976553967,2.51476177476299e-07
"865","OGFRL1",0.0557926670396235,2.51476177476299e-07
"866","OLIG2",0.00315314697775758,0.0061840149857977
"867","OPA1",0.021781678164813,0.00242813563331825
"868","ORMDL1",0.818043737496375,8.49565118653261e-05
"869","ORMDL1",0.00930789406914477,8.49565118653261e-05
"870","OSBPL1A",0.084683540642442,0.0026355246429594
"871","OSBPL1A",0.119469316631415,0.0026355246429594
"872","OSBPL1A",0.0135600968122939,0.0026355246429594
"873","P2RY13",0.286524389126219,2.70321783792654e-10
"874","P2RY13",0.0257766627556836,2.70321783792654e-10
"875","PACS2",0.0184307984714494,6.91094370512143e-05
"876","PADI4",0.0114658913865005,0.00015375502489527
"877","PAICS",0.023920989724196,1.85827033525603e-05
"878","PAICS",0.223432005536919,1.85827033525603e-05
"879","PAK1",0.0375228741531847,2.6503186468842e-08
"880","PANX2",0.00236619920810952,9.98863516504322e-07
"881","PASK",0.00965664881098913,1.27337320153729e-10
"882","PASK",0.120847791948065,1.27337320153729e-10
"883","PBX2",0.0200972241242311,2.79917082582301e-05
"884","PCED1B",0.000696350846628716,5.49164589821892e-13
"885","PCSK7",0.00327131972129942,8.41787386310301e-06
"886","PCSK7",0.160657885051552,8.41787386310301e-06
"887","PDE4B",0.19829276498513,2.018502142026e-08
"888","PDE4B",0.0360134780443748,2.018502142026e-08
"889","PDIA5",0.0289972452131232,0.0412671083252386
"890","PDK3",0.0269257925086608,0.000276692608064662
"891","PDK3",0.16568042546094,0.000276692608064662
"892","PDK4",0.0003238062796238,0.0189558701680263
"893","PDS5B",0.0349505831252696,0.0159459407528046
"894","PDS5B",0.43132042340867,0.0159459407528046
"895","PEBP1",0.0330634475371979,9.80042361345155e-07
"896","PELI2",0.00629984658025819,3.79453078294948e-11
"897","PFAS",0.0322172133437374,8.2724678047921e-07
"898","PFDN5",0.000332558369626695,0.00122527094922601
"899","PFDN5",0.277685110234246,0.00122527094922601
"900","PFKFB4",0.00582243153174257,9.05656147195186e-12
"901","PFKP",0.0376639769165952,0.00374260015395141
"902","PGD",0.00815735144479912,1.51601538296441e-09
"903","PGK1",0.0434442440865118,0.00156631317233998
"904","PGK1",0.565060113922612,0.00156631317233998
"905","PGK1",0.889412055847781,0.00156631317233998
"906","PGRMC2",0.00966421372633783,0.00169294431717731
"907","PHC2",0.00854811148898928,4.03902426263619e-14
"908","PHF21A",0.00987951819537366,0.000249423326442788
"909","PICALM",0.0819263290972361,3.58936746307151e-12
"910","PICALM",0.0483952969758203,3.58936746307151e-12
"911","PIK3IP1",0.00130043111754486,1.12439805427828e-09
"912","PILRA",7.96876997537023e-05,5.92529527653666e-11
"913","PILRA",0.000312306424857795,5.92529527653666e-11
"914","PILRA",0.00861228323964239,5.92529527653666e-11
"915","PLA2G7",0.0303472050792657,0.0218522556932151
"916","PLAG1",0.214129630429356,3.20368371880688e-09
"917","PLAG1",0.0417908408865206,3.20368371880688e-09
"918","PLAUR",1.26289914028971e-05,2.63458429387212e-10
"919","PLAUR",0.000397740719497439,2.63458429387212e-10
"920","PLAUR",0.145742001660419,2.63458429387212e-10
"921","PLBD1",0.0428070112446573,4.27667735746806e-09
"922","PLCL1",0.778251519422447,0.0014284411558514
"923","PLCL1",0.0427955774208231,0.0014284411558514
"924","PLEKHG3",0.0360404858720464,1.80674424178901e-07
"925","PNPLA8",0.0328320343002756,4.5990040610816e-05
"926","PNPLA8",0.899629493032794,4.5990040610816e-05
"927","POGK",0.0275858709519185,0.000193019641169789
"928","POGLUT1",0.0253068031597814,0.0256229050254971
"929","POGLUT1",0.315345760534477,0.0256229050254971
"930","POLR1C",0.000477211785253042,3.07308399688264e-07
"931","POLR1C",0.00997200023653669,3.07308399688264e-07
"932","POR",0.0498422015638441,9.79488260706397e-10
"933","PPAT",0.00140979323354227,2.96650254803328e-05
"934","PPM1B",0.504312183291258,0.00992279772873866
"935","PPM1B",0.32748263143324,0.00992279772873866
"936","PPM1B",0.0240236834063507,0.00992279772873866
"937","PPM1B",0.985584989477271,0.00992279772873866
"938","PPM1B",0.0674361961667456,0.00992279772873866
"939","PPM1K",0.0233083588084267,0.0233956335182528
"940","PPM1K",0.187949914323366,0.0233956335182528
"941","PPP1R11",0.0205550109187054,0.0148416130561951
"942","PPP1R15A",0.0337043595926335,6.42151856452638e-07
"943","PPP1R3B",0.0132102231521933,6.65311026400618e-10
"944","PPP2R3C",0.247667840660174,2.18576875636152e-08
"945","PPP2R3C",0.0384637749941273,2.18576875636152e-08
"946","PRDX1",0.0016148095453297,0.00342836251040391
"947","PRDX1",0.0243826111589279,0.00342836251040391
"948","PRF1",0.00169750450185985,3.49596153796971e-07
"949","PROK2",0.00194075981208753,0.00835878028122307
"950","PRPS1",0.0035139003079523,2.38061389794121e-07
"951","PRR13",0.475969619153907,1.33965829926944e-05
"952","PRR13",0.444687879270825,1.33965829926944e-05
"953","PRR13",0.143423341477701,1.33965829926944e-05
"954","PRR13",0.0476420627075862,1.33965829926944e-05
"955","PRR13",0.967969887717657,1.33965829926944e-05
"956","PRRG4",8.58801133065799e-06,3.03763033008724e-08
"957","PRRG4",0.967495836458783,3.03763033008724e-08
"958","PRSS33",0.0296285206101893,1.11979559981954e-05
"959","PSD4",0.00574535663119702,1.62696216079517e-05
"960","PSTPIP2",0.00495143510086949,1.80656919246935e-08
"961","PTAFR",0.00199863960670306,1.9911591108864e-09
"962","PTDSS1",0.0425554800053294,0.00492684406010655
"963","PTEN",0.0798172850073224,4.96873127679643e-12
"964","PTEN",0.0436123839492642,4.96873127679643e-12
"965","PTGS2",0.0177664906763406,2.86870670092873e-11
"966","PTGS2",0.0286398459174484,2.86870670092873e-11
"967","PTPN12",0.418988706833272,4.54762996913714e-13
"968","PTPN12",0.0389934587729821,4.54762996913714e-13
"969","PTPN6",0.020506183042083,0.0133293916561071
"970","PTPN6",0.915341642430232,0.0133293916561071
"971","PTPN6",0.372299214610431,0.0133293916561071
"972","PTPRA",0.674306613610015,1.2277873218063e-06
"973","PTPRA",0.598511584839219,1.2277873218063e-06
"974","PTPRA",0.0481482074895351,1.2277873218063e-06
"975","PTPRA",0.637302541282586,1.2277873218063e-06
"976","PTPRJ",0.0245982196514996,2.47168424881336e-10
"977","PTPRO",0.0762430829223972,1.3241263897294e-06
"978","PTPRO",0.0258818318994035,1.3241263897294e-06
"979","PURA",0.182680192615352,4.31954789184959e-09
"980","PURA",0.0189589742532269,4.31954789184959e-09
"981","PXK",0.00450565666137011,0.000689012851780189
"982","PYGL",0.00952303578059315,8.10194042435122e-07
"983","PYROXD1",0.00476209763558507,2.16298607143597e-06
"984","QKI",0.525136589118424,4.01151819815063e-07
"985","QKI",0.00329418615785785,4.01151819815063e-07
"986","QKI",0.369786147048379,4.01151819815063e-07
"987","QPCT",0.313120547838055,8.86260027863366e-07
"988","QPCT",0.00122000345891661,8.86260027863366e-07
"989","QRICH1",0.684205965456903,0.00547201734553943
"990","QRICH1",0.0223917753192117,0.00547201734553943
"991","RAB11FIP1",0.0280918280528826,1.26325025144128e-11
"992","RAB11FIP1",0.0144025567195954,1.26325025144128e-11
"993","RAB1A",0.0310270212841608,3.16641376125262e-06
"994","RAB1B",0.031941043435709,3.00423540252481e-06
"995","RAB24",0.0062604838289651,4.30600059159987e-06
"996","RAB24",0.000169206766714897,4.30600059159987e-06
"997","RAB24",0.00381313905304672,4.30600059159987e-06
"998","RAB24",0.360860800251988,4.30600059159987e-06
"999","RAB27A",0.497120089188545,4.21711568142554e-07
"1000","RAB27A",0.212686879325008,4.21711568142554e-07
"1001","RAB27A",0.0284090961307433,4.21711568142554e-07
"1002","RAB3IP",0.0391439556939058,1.74526911099531e-06
"1003","RAB3IP",0.897089734884369,1.74526911099531e-06
"1004","RAB7A",0.0213830533277564,9.39291125415387e-08
"1005","RABGGTB",0.00799851779507,0.000435984184549288
"1006","RABGGTB",0.30175078982028,0.000435984184549288
"1007","RAF1",0.0129152030456354,3.16441145763552e-09
"1008","RALA",0.0392127738227946,1.2054650414677e-05
"1009","RALB",0.0253777524003407,1.42473849686895e-11
"1010","RANBP1",0.00680237715427888,0.00509727676165751
"1011","RANBP1",0.0917571733922617,0.00509727676165751
"1012","RANBP10",0.00125116101109498,0.00012965696882643
"1013","RASSF2",0.0441280172582367,8.64711874210301e-11
"1014","RASSF2",0.0894843785583483,8.64711874210301e-11
"1015","RBM12",0.182875555838083,0.0076392733452012
"1016","RBM12",0.0367610526394367,0.0076392733452012
"1017","RBM23",0.187852097891223,2.17368825160732e-09
"1018","RBM23",0.0243658729801098,2.17368825160732e-09
"1019","RBM28",0.0144078261180701,0.000398959997240084
"1020","RBM3",0.819617027641607,4.42299421536182e-07
"1021","RBM3",0.0127596904496117,4.42299421536182e-07
"1022","RBM47",0.0399591148860396,7.48814456965373e-07
"1023","RBMX",0.0754247240642722,0.000709077550045484
"1024","RBMX",0.0124242153079639,0.000709077550045484
"1025","RBMX",0.162312007335561,0.000709077550045484
"1026","RBP7",0.000119634144999591,1.38046511993578e-06
"1027","RCAN3",0.000135051745155409,6.8023611780085e-13
"1028","RCBTB2",0.0249372620746705,2.0806127611752e-05
"1029","RCBTB2",0.0347394805272471,2.0806127611752e-05
"1030","RCN2",0.0438631004955664,0.000535012953839316
"1031","REM2",0.0418153946757289,3.16527174633839e-08
"1032","REPS2",0.000409501154676065,2.15669446531002e-15
"1033","REPS2",2.22783822208248e-05,2.15669446531002e-15
"1034","REPS2",5.32822536018328e-05,2.15669446531002e-15
"1035","REPS2",0.28500867146589,2.15669446531002e-15
"1036","REPS2",8.07571590048239e-06,2.15669446531002e-15
"1037","RFFL",0.00642440610768334,1.03489135932413e-08
"1038","RFFL",0.297620397867941,1.03489135932413e-08
"1039","RFX1",0.0417136673536972,1.27299304042855e-05
"1040","RFX2",0.653566286600993,0.00102633844321274
"1041","RFX2",0.00408360753239876,0.00102633844321274
"1042","RGS19",0.0471105927345441,0.000363361537753912
"1043","RGS2",0.00842964530652986,3.49272415702126e-11
"1044","RHOB",0.00132918977250891,5.15193646837162e-08
"1045","RHOT1",0.0294790117787497,4.67205641345075e-09
"1046","RHOT1",0.242561215301521,4.67205641345075e-09
"1047","RHOT1",0.303072787166793,4.67205641345075e-09
"1048","RING1",0.0230023907828909,0.00607998170850536
"1049","RIOK1",0.671839753331882,0.00078884261867868
"1050","RIOK1",0.00210256211597181,0.00078884261867868
"1051","RNASEL",0.0177601386721364,3.06325591602777e-07
"1052","RNASEL",0.13519210511335,3.06325591602777e-07
"1053","RNF10",0.0199283807542131,3.94510300915488e-08
"1054","RNF11",0.886037220648233,3.22969242991475e-08
"1055","RNF11",0.0260010695964794,3.22969242991475e-08
"1056","RNF130",0.0137202088353143,4.24511029595186e-08
"1057","RNF14",0.424669915028979,0.000596267572675169
"1058","RNF14",0.0139143707883443,0.000596267572675169
"1059","RNF149",0.110121134270064,1.89214146816253e-09
"1060","RNF149",0.0368579847637715,1.89214146816253e-09
"1061","RNF19B",0.049719850588242,3.95952375934985e-08
"1062","RNF24",0.00296395975778107,3.38667331785613e-08
"1063","RNPEPL1",0.00492132705488991,0.0180422185470629
"1064","RNPS1",0.283900179599671,0.0425396871240341
"1065","RNPS1",0.0492871107587348,0.0425396871240341
"1066","RNPS1",0.128135413718674,0.0425396871240341
"1067","ROPN1L",0.000238260447419192,2.65436837420178e-05
"1068","RPGRIP1",0.000536018319474688,0.000424848503164304
"1069","RPL13",0.363335791185929,6.53681800985531e-06
"1070","RPL13",0.00843416418782179,6.53681800985531e-06
"1071","RPL13A",0.0454566161917728,2.15898003228958e-07
"1072","RPL13A",0.000247012573064802,2.15898003228958e-07
"1073","RPL13A",0.0103071940285913,2.15898003228958e-07
"1074","RPL14",0.710147359165354,4.54876468904295e-06
"1075","RPL14",0.0252639375702759,4.54876468904295e-06
"1076","RPL14",0.132141602309072,4.54876468904295e-06
"1077","RPL15",0.358019630115628,0.000469388471785792
"1078","RPL15",0.000492629530309304,0.000469388471785792
"1079","RPL15",0.286703781034911,0.000469388471785792
"1080","RPL15",0.250790097635921,0.000469388471785792
"1081","RPL18",0.0190529020064806,1.44436156524947e-05
"1082","RPL18",0.0150619555290279,1.44436156524947e-05
"1083","RPL18",0.111822930380373,1.44436156524947e-05
"1084","RPL29",0.316757812939885,2.8573135870705e-07
"1085","RPL29",0.632342259623997,2.8573135870705e-07
"1086","RPL29",0.00964405919491634,2.8573135870705e-07
"1087","RPL29",0.0906201472623264,2.8573135870705e-07
"1088","RPL29",0.869015050443398,2.8573135870705e-07
"1089","RPL3",0.0853185098692838,8.12960703995367e-09
"1090","RPL3",0.0685899891367193,8.12960703995367e-09
"1091","RPL3",0.0158411025217117,8.12960703995367e-09
"1092","RPL35",0.026159092297753,0.00319841523942136
"1093","RPL35",0.0210883914933452,0.00319841523942136
"1094","RPL35",0.449176777708229,0.00319841523942136
"1095","RPL35",0.0221879207765096,0.00319841523942136
"1096","RPL36",0.0919273982615311,0.000206516333970408
"1097","RPL36",0.00761974225074269,0.000206516333970408
"1098","RPL36",0.909895435884162,0.000206516333970408
"1099","RPL4",0.0663737181124455,0.000492834149961532
"1100","RPL4",0.0282838151638099,0.000492834149961532
"1101","RPL5",0.0443666774566939,0.000715926637219957
"1102","RPL7",0.156528144122564,0.000772066116879662
"1103","RPL7",0.884951712796883,0.000772066116879662
"1104","RPL7",0.00325448403785004,0.000772066116879662
"1105","RPL7",0.347409380963893,0.000772066116879662
"1106","RPLP0",0.182285019251216,0.000245613262845514
"1107","RPLP0",0.836644031407119,0.000245613262845514
"1108","RPLP0",0.00589024611733266,0.000245613262845514
"1109","RPLP2",0.787020638764186,0.000212470436753648
"1110","RPLP2",0.0271730831321273,0.000212470436753648
"1111","RPRD2",0.0196094750684168,0.00010271660741594
"1112","RPS16",0.200819428409302,0.000187484557489541
"1113","RPS16",0.0234198717816022,0.000187484557489541
"1114","RPS2",0.0585605331684339,0.00447169083427277
